Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions),TargetPrice,As_of_Date
MMM,3M,Industrials,NYQ,USD,146.42,83.321618432,,2022-06-03
AOS,A. O. Smith,Industrials,NYQ,USD,60.44,9.42906368,,2022-06-03
ABT,Abbott,Health Care,NYQ,USD,115.08,201.498181632,,2022-06-03
ABBV,AbbVie,Health Care,NYQ,USD,146.02,258.03341824,,2022-06-03
ABMD,Abiomed,Health Care,NMS,USD,255.36,11.635197952,,2022-06-03
ACN,Accenture,Information Technology,NYQ,USD,298.65,189.316923392,,2022-06-03
ATVI,Activision Blizzard,Communication Services,NMS,USD,77.41,60.525412352,,2022-06-03
ADM,ADM,Consumer Staples,NYQ,USD,86.67,48.769900544,,2022-06-03
ADBE,Adobe,Information Technology,NMS,USD,418.16,197.580603392,,2022-06-03
ADP,ADP,Information Technology,NMS,USD,219.32,91.620278272,,2022-06-03
AAP,Advance Auto Parts,Consumer Discretionary,NYQ,USD,187.66,11.379664896,,2022-06-03
AES,AES,Utilities,NYQ,USD,21.88,14.612775936,,2022-06-03
AFL,Aflac,Financials,NYQ,USD,59.81,38.52750848,,2022-06-03
A,Agilent Technologies,Health Care,NYQ,USD,123.09,36.803907584,,2022-06-03
AIG,AIG,Financials,NYQ,USD,57.84,45.820387328,,2022-06-03
APD,Air Products,Materials,NYQ,USD,243.51,54.003941376,,2022-06-03
AKAM,Akamai,Information Technology,NMS,USD,101.13,16.211643392,,2022-06-03
ALK,Alaska Air Group,Industrials,NYQ,USD,46.57,5.872104448,,2022-06-03
ALB,Albemarle,Materials,NYQ,USD,240.12,28.121171968,,2022-06-03
ARE,Alexandria,Real Estate,NYQ,USD,163.81,26.736740352,,2022-06-03
ALGN,Align,Health Care,NMS,USD,265.17,20.896856064,,2022-06-03
ALLE,Allegion,Industrials,NYQ,USD,111.84,9.820099584,,2022-06-03
LNT,Alliant Energy,Utilities,NMS,USD,63.19,15.848936448,,2022-06-03
ALL,Allstate,Financials,NYQ,USD,134.7,37.04020992,,2022-06-03
GOOGL,Alphabet (Class A),Communication Services,NMS,USD,2277.84,1501.695574016,,2022-06-03
GOOG,Alphabet (Class C),Communication Services,NMS,USD,2282.74,1501.271425024,,2022-06-03
MO,Altria,Consumer Staples,NYQ,USD,54.08,97.9150848,,2022-06-03
AMZN,Amazon,Consumer Discretionary,NMS,USD,2433.68,1238.061678592,,2022-06-03
AMCR,Amcor,Materials,NYQ,USD,13.19,19.82153728,,2022-06-03
AMD,AMD,Information Technology,NMS,USD,101.22,164.028022784,,2022-06-03
AEE,Ameren,Utilities,NYQ,USD,94.37,24.368883712,,2022-06-03
AAL,American Airlines Group,Industrials,NMS,USD,17.29,11.230114816,,2022-06-03
AEP,American Electric Power,Utilities,NMS,USD,102.04,52.402028544,,2022-06-03
AXP,American Express,Financials,NYQ,USD,165.76,124.827213824,,2022-06-03
AMT,American Tower,Real Estate,NYQ,USD,252.56,115.238838272,,2022-06-03
AWK,American Water,Utilities,NYQ,USD,151.92,27.61191424,,2022-06-03
AMP,Ameriprise Financial,Financials,NYQ,USD,270.44,29.722437632,,2022-06-03
ABC,AmerisourceBergen,Health Care,NYQ,USD,150.01,31.421693952,,2022-06-03
AME,Ametek,Industrials,NYQ,USD,120.43,28.04862976,,2022-06-03
AMGN,Amgen,Health Care,NMS,USD,253.42,135.376961536,,2022-06-03
APH,Amphenol,Information Technology,NYQ,USD,69.28,41.369718784,,2022-06-03
ADI,Analog Devices,Information Technology,NMS,USD,164.77,85.648441344,,2022-06-03
ANSS,Ansys,Information Technology,NMS,USD,254.92,22.175514624,,2022-06-03
ANTM,Anthem,Health Care,NYQ,USD,499.19,120.347213824,,2022-06-03
AON,Aon,Financials,NYQ,USD,270.59,57.468985344,,2022-06-03
APA,APA Corporation,Energy,NMS,USD,47.62,16.106607616,,2022-06-03
AAPL,Apple,Information Technology,NMS,USD,148.71,2406.901088256,,2022-06-03
AMAT,Applied Materials,Information Technology,NMS,USD,114.46,99.574136832,,2022-06-03
APTV,Aptiv,Consumer Discretionary,NYQ,USD,107.52,29.130500096,,2022-06-03
ANET,Arista,Information Technology,NYQ,USD,101.67,31.243190272,,2022-06-03
AIZ,Assurant,Financials,NYQ,USD,178.23,9.639586816,,2022-06-03
T,AT&T,Communication Services,NYQ,USD,21.22,151.913971712,,2022-06-03
ATO,Atmos Energy,Utilities,NYQ,USD,116.43,16.185517056,,2022-06-03
ADSK,Autodesk,Information Technology,NMS,USD,207.38,45.110751232,,2022-06-03
AZO,AutoZone,Consumer Discretionary,NYQ,USD,2035.11,39.83931392,,2022-06-03
AVB,AvalonBay Communities,Real Estate,NYQ,USD,207.57,29.02202368,,2022-06-03
AVY,Avery Dennison,Materials,NYQ,USD,173.07,14.14229504,,2022-06-03
BKR,Baker Hughes,Energy,NMS,USD,37.41,40.54870016,,2022-06-03
BALL,Ball,Materials,NYQ,USD,71.27,22.791360512,,2022-06-03
BAC,Bank of America,Financials,NYQ,USD,36.67,295.44579072,,2022-06-03
BBWI,Bath & Body Works,Consumer Discretionary,NYQ,USD,39.57,9.437048832,,2022-06-03
BAX,Baxter,Health Care,NYQ,USD,74.47,37.497802752,,2022-06-03
BDX,Becton Dickinson,Health Care,NYQ,USD,251.4,71.66533632,,2022-06-03
WRB,Berkley,Financials,NYQ,USD,70.67,18.741188608,,2022-06-03
BRK-B,Berkshire Hathaway,Financials,NYQ,USD,312.21,688.881926144,,2022-06-03
BBY,Best Buy,Consumer Discretionary,NYQ,USD,80.08,18.015438848,,2022-06-03
BIO,Bio-Rad,Health Care,NYQ,USD,527.79,15.505097728,,2022-06-03
TECH,Bio-Techne,Health Care,NMS,USD,359.95,14.122098688,,2022-06-03
BIIB,Biogen,Health Care,NMS,USD,200.0,29.290399744,,2022-06-03
BLK,BlackRock,Financials,NYQ,USD,660.51,100.06925312,,2022-06-03
BK,BNY Mellon,Financials,NYQ,USD,45.65,36.8759808,,2022-06-03
BA,Boeing,Industrials,NYQ,USD,130.65,77.297238016,,2022-06-03
BKNG,Booking Holdings,Consumer Discretionary,NMS,USD,2238.57,90.938105856,,2022-06-03
BWA,BorgWarner,Consumer Discretionary,NYQ,USD,40.12,9.659652096,,2022-06-03
BXP,Boston Properties,Real Estate,NYQ,USD,108.17,16.95153664,,2022-06-03
BSX,Boston Scientific,Health Care,NYQ,USD,39.92,57.068433408,,2022-06-03
BMY,Bristol Myers Squibb,Health Care,NYQ,USD,74.96,159.59433216,,2022-06-03
AVGO,Broadcom,Information Technology,NMS,USD,573.62,241.721737216,,2022-06-03
BR,Broadridge,Information Technology,NYQ,USD,144.73,16.966262784,,2022-06-03
BRO,Brown & Brown,Financials,NYQ,USD,58.01,16.374656,,2022-06-03
BF-B,Brown–Forman,Consumer Staples,NYQ,USD,65.51,30.876239872,,2022-06-03
CHRW,C.H. Robinson,Industrials,NMS,USD,108.94,13.864357888,,2022-06-03
CDNS,Cadence,Information Technology,NMS,USD,153.22,42.25179648,,2022-06-03
CZR,Caesars Entertainment,Consumer Discretionary,NMS,USD,49.56,10.62397952,,2022-06-03
CPT,Camden,Real Estate,NYQ,USD,143.56,15.29215488,,2022-06-03
CPB,Campbell's,Consumer Staples,NYQ,USD,47.0,14.180087808,,2022-06-03
COF,Capital One,Financials,NYQ,USD,124.96,49.115652096,,2022-06-03
CAH,Cardinal Health,Health Care,NYQ,USD,55.43,15.100628992,,2022-06-03
KMX,CarMax,Consumer Discretionary,NYQ,USD,98.46,15.770534912,,2022-06-03
CCL,Carnival,Consumer Discretionary,NYQ,USD,13.47,15.833042944,,2022-06-03
CARR,Carrier,Industrials,NYQ,USD,38.94,33.030541312,,2022-06-03
CTLT,Catalent,Health Care,NYQ,USD,104.48,18.724173824,,2022-06-03
CAT,Caterpillar,Industrials,NYQ,USD,217.57,116.04619264,,2022-06-03
CBOE,Cboe,Financials,BTS,USD,112.42,11.937767424,,2022-06-03
CBRE,CBRE,Real Estate,NYQ,USD,79.59,26.014865408,,2022-06-03
CDW,CDW,Information Technology,NMS,USD,171.21,23.133210624,,2022-06-03
CE,Celanese,Materials,NYQ,USD,155.22,16.811722752,,2022-06-03
CNC,Centene,Health Care,NYQ,USD,81.21,47.49867008,,2022-06-03
CNP,CenterPoint Energy,Utilities,NYQ,USD,32.06,20.180135936,,2022-06-03
CDAY,Ceridian,Information Technology,NYQ,USD,53.79,8.210774016,,2022-06-03
CERN,Cerner,Health Care,NMS,USD,94.69,27.848138752,,2022-06-03
CF,CF Industries,Materials,NYQ,USD,95.51,19.923576832,,2022-06-03
CRL,Charles River,Health Care,NYQ,USD,229.69,11.669378048,,2022-06-03
SCHW,Charles Schwab,Financials,NYQ,USD,69.57,131.929063424,,2022-06-03
CHTR,Charter Communications,Communication Services,NMS,USD,495.38,94.861795328,,2022-06-03
CVX,Chevron,Energy,NYQ,USD,176.32,346.435321856,,2022-06-03
CMG,Chipotle Mexican Grill,Consumer Discretionary,NYQ,USD,1374.72,38.44046848,,2022-06-03
CB,Chubb,Financials,NYQ,USD,208.64,88.40306688,,2022-06-03
