Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions)
0027.HK,GALAXY ENT,Consumer Discretionary,HKG,HKD,41.3,180.049412096
0066.HK,MTR CORPORATION,Consumer Discretionary,HKG,HKD,42.2,261.364023296
0116.HK,CHOW SANG SANG,Consumer Discretionary,HKG,HKD,8.6,5.825932288
0175.HK,GEELY AUTO,Consumer Discretionary,HKG,HKD,15.32,153.51865344
0179.HK,JOHNSON ELEC H,Consumer Discretionary,HKG,HKD,10.36,9.386190848
0200.HK,MELCO INT'L DEV,Consumer Discretionary,HKG,HKD,5.38,8.159254016
0256.HK,CITYCHAMP,Consumer Discretionary,HKG,HKD,1.19,5.17874944
0293.HK,CATHAY PAC AIR,Consumer Discretionary,HKG,HKD,8.24,53.04252416
0308.HK,CHINA TRAVEL HK,Consumer Discretionary,HKG,HKD,1.46,8.083479552
0341.HK,CAFE DE CORAL H,Consumer Discretionary,HKG,HKD,12.2,7.145588736
0425.HK,MINTH GROUP,Consumer Discretionary,HKG,HKD,20.0,23.228002304
0493.HK,GOME RETAIL,Consumer Discretionary,HKG,HKD,0.395,13.333817344
0520.HK,XIABUXIABU,Consumer Discretionary,HKG,HKD,3.54,3.844086016
0551.HK,YUE YUEN IND,Consumer Discretionary,HKG,HKD,11.2,18.056415232
0590.HK,LUK FOOK HOLD,Consumer Discretionary,HKG,HKD,17.84,10.474006528
0667.HK,CHINA EAST EDU,Consumer Discretionary,HKG,HKD,3.62,7.872341504
0669.HK,TECHTRONIC IND,Consumer Discretionary,HKG,HKD,99.6,182.719184896
0670.HK,CHINA EAST AIR,Consumer Discretionary,HKG,HKD,2.77,90.214744064
0694.HK,BEIJING AIRPORT,Consumer Discretionary,HKG,HKD,4.56,20.88105984
0751.HK,SKYWORTH GROUP,Consumer Discretionary,HKG,HKD,3.95,10.374161408
0753.HK,AIR CHINA,Consumer Discretionary,HKG,HKD,5.68,138.840211456
0772.HK,CHINA LIT,Consumer Discretionary,HKG,HKD,33.5,34.238005248
0780.HK,TONGCHENGTRAVEL,Consumer Discretionary,HKG,HKD,14.36,31.846029312
0839.HK,CHINA EDU GROUP,Consumer Discretionary,HKG,HKD,5.21,12.436634624
0880.HK,SJM HOLDINGS,Consumer Discretionary,HKG,HKD,3.29,18.691936256
0881.HK,ZHONGSHENG HLDG,Consumer Discretionary,HKG,HKD,58.5,141.106085888
0973.HK,L'OCCITANE,Consumer Discretionary,HKG,HKD,23.85,34.97984
1055.HK,CHINA SOUTH AIR,Consumer Discretionary,HKG,HKD,4.25,114.54685184
1060.HK,ALI PICTURES,Consumer Discretionary,HKG,HKD,0.69,18.613233664
1070.HK,TCL ELECTRONICS,Consumer Discretionary,HKG,HKD,3.71,9.258268672
1121.HK,GOLDENSOLAR,Consumer Discretionary,HKG,HKD,6.95,11.89777408
1128.HK,WYNN MACAU,Consumer Discretionary,HKG,HKD,4.57,23.810750464
1179.HK,HUAZHU-S,Consumer Discretionary,HKG,HKD,25.8,83.029303296
1211.HK,BYD COMPANY,Consumer Discretionary,HKG,HKD,284.4,954.25298432
1212.HK,LIFESTYLE INT'L,Consumer Discretionary,HKG,HKD,3.26,4.896259072
1234.HK,CHINA LILANG,Consumer Discretionary,HKG,HKD,3.92,4.694160896
1268.HK,MEIDONG AUTO,Consumer Discretionary,HKG,HKD,27.9,35.503587328
1316.HK,NEXTEER,Consumer Discretionary,HKG,HKD,5.26,13.20165376
1368.HK,XTEP INT'L,Consumer Discretionary,HKG,HKD,11.62,29.070450688
1382.HK,PACIFICTEXTILES,Consumer Discretionary,HKG,HKD,3.6,5.08035584
1448.HK,FU SHOU YUAN,Consumer Discretionary,HKG,HKD,5.48,12.71562752
1585.HK,YADEA,Consumer Discretionary,HKG,HKD,13.84,42.402992128
1691.HK,JS GLOBAL LIFE,Consumer Discretionary,HKG,HKD,8.5,29.704183808
1765.HK,HOPE EDU,Consumer Discretionary,HKG,HKD,0.455,3.631473408
1773.HK,TIANLI EDU,Consumer Discretionary,HKG,HKD,0.64,1.378559872
1797.HK,KOOLEARN,Consumer Discretionary,HKG,HKD,3.65,3.652627968
1860.HK,MOBVISTA,Consumer Discretionary,HKG,HKD,4.71,7.737399296
1890.HK,CHINA KEPEI,Consumer Discretionary,HKG,HKD,1.69,3.4057728
1896.HK,MAOYAN ENT,Consumer Discretionary,HKG,HKD,6.54,7.47940608
1910.HK,SAMSONITE,Consumer Discretionary,HKG,HKD,17.52,25.174663168
1913.HK,PRADA,Consumer Discretionary,HKG,HKD,47.15,120.648368128
1928.HK,SANDS CHINA LTD,Consumer Discretionary,HKG,HKD,14.72,119.131758592
1929.HK,CHOW TAI FOOK,Consumer Discretionary,HKG,HKD,13.36,133.599993856
1958.HK,BAIC MOTOR,Consumer Discretionary,HKG,HKD,2.59,20.759730176
1981.HK,CATHAY EDU,Consumer Discretionary,HKG,HKD,1.02,1.688038784
1992.HK,FOSUN TOURISM,Consumer Discretionary,HKG,HKD,10.98,13.6012544
1999.HK,MAN WAH HLDGS,Consumer Discretionary,HKG,HKD,7.49,29.425063936
2001.HK,NEW HIGHER EDU,Consumer Discretionary,HKG,HKD,2.49,3.89025152
2013.HK,WEIMOB INC,Consumer Discretionary,HKG,HKD,4.62,11.77388544
2015.HK,LI AUTO-W,Consumer Discretionary,HKG,HKD,100.8,194.499657728
2020.HK,ANTA SPORTS,Consumer Discretionary,HKG,HKD,86.0,233.37132032
2148.HK,VESYNC,Consumer Discretionary,HKG,HKD,5.53,6.430726656
2150.HK,NAYUKI,Consumer Discretionary,HKG,HKD,6.3,10.80531968
2238.HK,GAC GROUP,Consumer Discretionary,HKG,HKD,7.8,163.420143616
2282.HK,MGM CHINA,Consumer Discretionary,HKG,HKD,4.01,15.23800064
2285.HK,CHERVON,Consumer Discretionary,HKG,HKD,47.2,23.138336768
2313.HK,SHENZHOU INTL,Consumer Discretionary,HKG,HKD,106.0,159.341314048
2331.HK,LI NING,Consumer Discretionary,HKG,HKD,60.0,157.041590272
2333.HK,GREATWALL MOTOR,Consumer Discretionary,HKG,HKD,15.08,302.829010944
