Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions)
MMM,3M,Industrials,NYQ,USD,146.42,83.321618432
AOS,A. O. Smith,Industrials,NYQ,USD,60.44,9.42906368
ABT,Abbott,Health Care,NYQ,USD,115.08,201.498181632
ABBV,AbbVie,Health Care,NYQ,USD,146.02,258.03341824
ABMD,Abiomed,Health Care,NMS,USD,255.36,11.635197952
ACN,Accenture,Information Technology,NYQ,USD,298.65,189.316923392
ATVI,Activision Blizzard,Communication Services,NMS,USD,77.41,60.525412352
ADM,ADM,Consumer Staples,NYQ,USD,86.67,48.769900544
ADBE,Adobe,Information Technology,NMS,USD,418.16,197.580603392
ADP,ADP,Information Technology,NMS,USD,219.32,91.620278272
AAP,Advance Auto Parts,Consumer Discretionary,NYQ,USD,187.66,11.379664896
AES,AES,Utilities,NYQ,USD,21.88,14.612775936
AFL,Aflac,Financials,NYQ,USD,59.81,38.52750848
A,Agilent Technologies,Health Care,NYQ,USD,123.09,36.803907584
AIG,AIG,Financials,NYQ,USD,57.84,45.820387328
APD,Air Products,Materials,NYQ,USD,243.51,54.003941376
AKAM,Akamai,Information Technology,NMS,USD,101.13,16.211643392
ALK,Alaska Air Group,Industrials,NYQ,USD,46.57,5.872104448
ALB,Albemarle,Materials,NYQ,USD,240.12,28.121171968
ARE,Alexandria,Real Estate,NYQ,USD,163.81,26.736740352
ALGN,Align,Health Care,NMS,USD,265.17,20.896856064
ALLE,Allegion,Industrials,NYQ,USD,111.84,9.820099584
LNT,Alliant Energy,Utilities,NMS,USD,63.19,15.848936448
ALL,Allstate,Financials,NYQ,USD,134.7,37.04020992
GOOGL,Alphabet (Class A),Communication Services,NMS,USD,2277.84,1501.695574016
GOOG,Alphabet (Class C),Communication Services,NMS,USD,2282.74,1501.271425024
MO,Altria,Consumer Staples,NYQ,USD,54.08,97.9150848
AMZN,Amazon,Consumer Discretionary,NMS,USD,2433.68,1238.061678592
AMCR,Amcor,Materials,NYQ,USD,13.19,19.82153728
AMD,AMD,Information Technology,NMS,USD,101.22,164.028022784
AEE,Ameren,Utilities,NYQ,USD,94.37,24.368883712
AAL,American Airlines Group,Industrials,NMS,USD,17.29,11.230114816
AEP,American Electric Power,Utilities,NMS,USD,102.04,52.402028544
AXP,American Express,Financials,NYQ,USD,165.76,124.827213824
AMT,American Tower,Real Estate,NYQ,USD,252.56,115.238838272
AWK,American Water,Utilities,NYQ,USD,151.92,27.61191424
AMP,Ameriprise Financial,Financials,NYQ,USD,270.44,29.722437632
ABC,AmerisourceBergen,Health Care,NYQ,USD,150.01,31.421693952
AME,Ametek,Industrials,NYQ,USD,120.43,28.04862976
AMGN,Amgen,Health Care,NMS,USD,253.42,135.376961536
APH,Amphenol,Information Technology,NYQ,USD,69.28,41.369718784
