Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions)
H78,HONGKONG LAND HOLDINGS LIMITED,Real Estate,SGX,USD,4.880,15.3
S68,SINGAPORE EXCHANGE LIMITED,Financials,SGX,SGD,9.720,10.5
BS6,YANGZIJIANG SHIPBLDG HLDGS LTD,Industrials,SGX,SGD,0.940,3.9
J36,JARDINE MATHESON HLDGS LTD,Industrials,SGX,USD,58.910,55.3
D01,DFI RETAIL GROUP HOLDINGS LIMITED,Consumer Staples,SGX,USD,2.740,4.9
C52,COMFORTDELGRO CORPORATION LTD,Industrials,SGX,SGD,1.460,3.2
C38U,CAPITALAND INTEGRATED COMM TR,Real Estate,SGX,SGD,2.220,14.3
G13,GENTING SINGAPORE LIMITED,Consumer Discretionary,SGX,SGD,0.790,9.4
M44U,MAPLETREE LOGISTICS TRUST,Real Estate,SGX,SGD,1.660,6.7
D05,DBS GROUP HOLDINGS LTD,Financials,SGX,SGD,31.210,79.7
F34,WILMAR INTERNATIONAL LIMITED,Consumer Staples,SGX,SGD,4.200,26.4
O39,OVERSEA-CHINESE BANKING CORP,Financials,SGX,SGD,11.910,49.5
BUOU, COMMERCIAL TRUST,Real Estate,SGX,SGD,1.370,4.6
N2IU,MAPLETREE COMMERCIAL TRUST,Real Estate,SGX,SGD,1.790,5.9
S63,SINGAPORE TECH ENGINEERING LTD,Industrials,SGX,SGD,4.130,12.9
C07, CARRIAGE LTD,Consumer Discretionary,SGX,SGD,29.430,11.4
Z74,SINGTEL,Communication Services,SGX,SGD,2.600,42.4
V03,VENTURE CORPORATION LIMITED,Information Technology,SGX,SGD,17.930,5.1
ME8U,MAPLETREE INDUSTRIAL TRUST,Real Estate,SGX,SGD,2.480,5.5
Y92,THAI BEVERAGE PUBLIC CO LTD,Consumer Staples,SGX,SGD,0.695,17.3
BN4,KEPPEL CORPORATION LIMITED,Industrials,SGX,SGD,6.860,12.4
C6L,SINGAPORE AIRLINES LTD,Industrials,SGX,SGD,5.510,16.2
A17U,ASCENDAS REAL ESTATE INV TRUST,Real Estate,SGX,SGD,2.770,10.1
U96,SEMBCORP INDUSTRIES LTD,Industrials,SGX,SGD,2.830,5.0
AJBU,KEPPEL DC REIT,Real Estate,SGX,SGD,2.040,3.2
U14,UOL GROUP LIMITED,Real Estate,SGX,SGD,7.370,6.2
9CI,CAPITALAND INVESTMENT LIMITED,Real Estate,SGX,SGD,3.900,20.1
C09,CITY DEVELOPMENTS LIMITED,Real Estate,SGX,SGD,8.130,7.4
U11,UNITED OVERSEAS BANK LTD,Financials,SGX,SGD,29.040,48.0
S58,SATS LTD.,Industrials,SGX,SGD,4.260,4.6
